"ID","prompt","response","comb","komposita","fluency","rater1","rater2","rater3","ori","set","lab","rwa1","rwa2","rwa3","rwa4","rwa5","rwa6","rwa7","rwa8","rwa9","rwa10","rwa11","rwa12","rwa13","rwa14","rwa15","aggression","conventionalism","submission.r","value.tier","value.super","value.letters","value.letterf"
"1298LAOK168","Büroklammer","Cd Laufwerk aufschieben","1298LAOK168-Büroklammer",NA,4,3,3,3,3,13,8,1,5,3,4,1,3,1,3,3,5,3,4,4,3,3,3.25,1.5,2.4,17,NA,16,13
"1298LAOK168","Büroklammer","Ketten basteln","1298LAOK168-Büroklammer",NA,4,2,2,2,2,13,8,1,5,3,4,1,3,1,3,3,5,3,4,4,3,3,3.25,1.5,2.4,17,NA,16,13
"1298LAOK168","Büroklammer","PC Tastatur säubern ","1298LAOK168-Büroklammer",NA,4,3,3,3,3,13,8,1,5,3,4,1,3,1,3,3,5,3,4,4,3,3,3.25,1.5,2.4,17,NA,16,13
"1298LAOK168","Büroklammer","Schlösser knacken","1298LAOK168-Büroklammer",NA,4,3,2,2,2.3333333333333335,13,8,1,5,3,4,1,3,1,3,3,5,3,4,4,3,3,3.25,1.5,2.4,17,NA,16,13
"1298LAOK168","Mülltüte","Kleider schneidern","1298LAOK168-Mülltüte",NA,4,3,2,2,2.3333333333333335,13,8,1,5,3,4,1,3,1,3,3,5,3,4,4,3,3,3.25,1.5,2.4,17,NA,16,13
"1298LAOK168","Mülltüte","Luftkissen","1298LAOK168-Mülltüte",1,4,5,3,3,3.6666666666666665,13,8,1,5,3,4,1,3,1,3,3,5,3,4,4,3,3,3.25,1.5,2.4,17,NA,16,13
"1298LAOK168","Mülltüte","Sackhüpfen","1298LAOK168-Mülltüte",1,4,3,1,3,2.3333333333333335,13,8,1,5,3,4,1,3,1,3,3,5,3,4,4,3,3,3.25,1.5,2.4,17,NA,16,13
"1298LAOK168","Mülltüte","Schlitten fahren","1298LAOK168-Mülltüte",NA,4,5,2,3,3.3333333333333335,13,8,1,5,3,4,1,3,1,3,3,5,3,4,4,3,3,3.25,1.5,2.4,17,NA,16,13
"1298LAOK168","Seil","Art Attack Riesenbild legen","1298LAOK168-Seil",1,5,4,3,3,3.3333333333333335,13,8,1,5,3,4,1,3,1,3,3,5,3,4,4,3,3,3.25,1.5,2.4,17,NA,16,13
"1298LAOK168","Seil","Indianer spielen","1298LAOK168-Seil",NA,5,4,3,2,3,13,8,1,5,3,4,1,3,1,3,3,5,3,4,4,3,3,3.25,1.5,2.4,17,NA,16,13
"1298LAOK168","Seil","Kleiderstange","1298LAOK168-Seil",1,5,3,3,2,2.6666666666666665,13,8,1,5,3,4,1,3,1,3,3,5,3,4,4,3,3,3.25,1.5,2.4,17,NA,16,13
"1298LAOK168","Seil","Seemannsknoten üben","1298LAOK168-Seil",1,5,2,1,2,1.6666666666666667,13,8,1,5,3,4,1,3,1,3,3,5,3,4,4,3,3,3.25,1.5,2.4,17,NA,16,13
"1298LAOK168","Seil","Wäscheleine bauen","1298LAOK168-Seil",1,5,3,3,2,2.6666666666666665,13,8,1,5,3,4,1,3,1,3,3,5,3,4,4,3,3,3.25,1.5,2.4,17,NA,16,13
"1300KAUS195","Büroklammer","Modeaccessoire - wie ein Lippenpiercing oder Ohrring","1300KAUS195-Büroklammer",1,2,2,1,2,1.6666666666666667,13,8,3,5,1,4,1,4,2,5,3,5,4,5,3,4,2,3,1.5,1.5999999999999996,18,17,16,12
"1300KAUS195","Büroklammer","zum erstellen von Kunst, indem die Klammen verbogen werden und/oder an Draht befestigt werden","1300KAUS195-Büroklammer",NA,2,3,2,2,2.3333333333333335,13,8,3,5,1,4,1,4,2,5,3,5,4,5,3,4,2,3,1.5,1.5999999999999996,18,17,16,12
"1300KAUS195","Mülltüte"," Tragbare Sauna , wenn der ganze Körper eingewickelt wird","1300KAUS195-Mülltüte",NA,3,5,5,5,5,13,8,3,5,1,4,1,4,2,5,3,5,4,5,3,4,2,3,1.5,1.5999999999999996,18,17,16,12
"1300KAUS195","Mülltüte","Mordwaffe","1300KAUS195-Mülltüte",1,3,4,2,2,2.6666666666666665,13,8,3,5,1,4,1,4,2,5,3,5,4,5,3,4,2,3,1.5,1.5999999999999996,18,17,16,12
"1300KAUS195","Mülltüte","Verkleidung zu bestimmten Anlässen, z.b. Parties oder Halloween","1300KAUS195-Mülltüte",NA,3,4,2,2,2.6666666666666665,13,8,3,5,1,4,1,4,2,5,3,5,4,5,3,4,2,3,1.5,1.5999999999999996,18,17,16,12
"1300KAUS195","Seil","Halterung für Gegenstände, z.B. um Gegenstände, wie Küchengegenstände, daran zu hängen","1300KAUS195-Seil",1,3,3,3,2,2.6666666666666665,13,8,3,5,1,4,1,4,2,5,3,5,4,5,3,4,2,3,1.5,1.5999999999999996,18,17,16,12
